"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",3.47838917016943e-06,1.07347407617278e-05,0.324031035995839,0.745914571617974
"2","time3 years before",3.5906144268283e-06,9.26428720499703e-06,0.38757589735469,0.698329950061185
"3","timeOnset",3.78736449906797e-06,2.72825670343974e-05,0.13881994660887,0.889592445578296
"4","time1 year before:exposed_15",1.22552696087699e-05,1.7131216567658e-05,0.71537649181942,0.474376518734052
"5","time3 years before:exposed_15",1.35213564708824e-05,1.44064492634495e-05,0.938562738369361,0.347955405641731
"6","timeOnset:exposed_15",1.09539540636031e-05,4.60108671602829e-05,0.238073193131614,0.811824350411259
