"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",-0.00100926614470567,0.000129942211884391,-7.76703836320418,8.03805486874866e-15
"2","time3 years before",-0.00108980121914722,0.000112181385645203,-9.71463503396133,2.61482227065003e-22
"3","timeOnset",-0.000585423361949287,0.00033036373270842,-1.77205699048686,0.0763852507472046
"4","time1 year before:exposed_15",-0.000286211123661225,0.000207282771615973,-1.3807762286751,0.167347930074154
"5","time3 years before:exposed_15",-0.000425498303107548,0.000174454314351197,-2.43902424935717,0.0147270669410172
"6","timeOnset:exposed_15",0.000382687996682128,0.00055713561841632,0.686884815890849,0.492155396342217
