"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",-5.44777926549011e-06,8.52006232742603e-06,-0.639406034384718,0.52255889813519
"2","time3 years before",-5.5736901555845e-06,7.35730063059789e-06,-0.7575727070883,0.448706914172789
"3","timeOnset",-4.87720250315041e-06,2.16664799755741e-05,-0.225103593599365,0.821898708595096
"4","time1 year before:exposed_15",-2.0454501544229e-06,1.35862490352486e-05,-0.150552970810127,0.880328377554536
"5","time3 years before:exposed_15",-1.22800239780293e-06,1.14412994531386e-05,-0.107330675403838,0.914526660486009
"6","timeOnset:exposed_15",-2.8312863724556e-06,3.6542434666935e-05,-0.0774794125859779,0.938242176217002
