"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",-5.53074366634434e-05,2.80402490336477e-05,-1.97243029464809,0.0485606448358956
"2","time3 years before",-6.55365077636094e-05,2.42140783414797e-05,-2.70654562355746,0.00679878205644389
"3","timeOnset",-6.24776709973754e-05,7.13086677968772e-05,-0.876158157593731,0.38094416587921
"4","time1 year before:exposed_15",1.96614103886399e-05,4.47129761961132e-05,0.439724931357824,0.660136391121507
"5","time3 years before:exposed_15",1.13421634115216e-05,3.76553970781651e-05,0.301209502265441,0.763254775884918
"6","timeOnset:exposed_15",0.000153536458210943,0.000120257330704952,1.27673263085841,0.201696806355603
