"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",3.87097642099899e-05,0.000102466543649107,0.377779544731693,0.705594410914572
"2","time3 years before",0.00133515449360585,8.84874085436287e-05,15.0886382094414,1.93641948905499e-51
"3","timeOnset",-0.000449083923403751,0.000260588952458371,-1.72334214158788,0.0848268268438769
"4","time1 year before:exposed_15",0.000130650812927772,0.000163391803075015,0.799616691100402,0.423933009545721
"5","time3 years before:exposed_15",0.000120985508017177,0.000137607073326941,0.87920994969297,0.379287557020756
"6","timeOnset:exposed_15",0.000152102489765821,0.000439466002155302,0.346107523721641,0.729261946019802
