"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",-2.28763284257522e-05,2.63720404277843e-05,-0.867446282300202,0.385697637221302
"2","time3 years before",-2.31516304464208e-05,2.27740350929008e-05,-1.01658008130661,0.309353357621342
"3","timeOnset",-2.0708953722204e-05,6.70678434254544e-05,-0.308776198316589,0.757491808371936
"4","time1 year before:exposed_15",-3.82957654707271e-05,4.20534859484219e-05,-0.910644257118099,0.362482954107182
"5","time3 years before:exposed_15",-3.62918845786133e-05,3.54160145418642e-05,-1.02473090346498,0.30549030195087
"6","timeOnset:exposed_15",-4.0233367803152e-05,0.000113105464406312,-0.355715508656774,0.722053667281304
