"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",2.73015317176263e-06,1.1810455662535e-05,0.231164084585084,0.817187354571651
"2","time3 years before",2.72401040870672e-06,1.01930023214932e-05,0.267243185353035,0.789281955543989
"3","timeOnset",3.04072255376606e-06,3.00176607014945e-05,0.1012977854605,0.919314084338241
"4","time1 year before:exposed_15",2.63146692784523e-06,1.88488198094478e-05,0.139609108392358,0.888968857825652
"5","time3 years before:exposed_15",2.1947369209841e-06,1.5850744550829e-05,0.138462702111322,0.889874759095781
"6","timeOnset:exposed_15",2.98396440701504e-06,5.06188232592484e-05,0.0589496992399927,0.952992178518226
