"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",-0.0121666035166825,0.000430575152029633,-28.2566317618003,1.27881465088243e-175
"2","time3 years before",0.0101205533593654,0.000370464661283859,27.3185391672509,2.74105185825995e-164
"3","timeOnset",-0.00945645816415784,0.00109094972515696,-8.66809711400523,4.3972291854017e-18
"4","time1 year before:exposed_15",0.000698917562573356,0.000686534860193802,1.01803652384973,0.308660723288783
"5","time3 years before:exposed_15",0.000684046952636896,0.000576108536886897,1.1873577786805,0.235086668692747
"6","timeOnset:exposed_15",0.000125981223448167,0.00183979200931387,0.0684757966174394,0.94540689324701
