"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",-9.04640754363838e-06,1.2779259522846e-05,-0.70789763111593,0.47900891399181
"2","time3 years before",-9.12252374856301e-06,1.10356116831018e-05,-0.826644141758973,0.408438889498178
"3","timeOnset",-8.52637597254777e-06,3.24988342925453e-05,-0.262359440212401,0.793044366923687
"4","time1 year before:exposed_15",-3.57121758564816e-05,2.0379018998684e-05,-1.75239916400234,0.079705349415577
"5","time3 years before:exposed_15",-3.36877936289591e-05,1.7161523782451e-05,-1.96298382684453,0.0496481926815286
"6","timeOnset:exposed_15",-3.76576428955637e-05,5.48071112153807e-05,-0.687094102580536,0.49202351055665
