"","term","estimate","std.error","statistic","p.value"
"1","time1 year before",-0.000976799697055494,0.000129588516228063,-7.53770261044136,4.78524361740046e-14
"2","time3 years before",-0.00104741486144817,0.000111878657338002,-9.36206141877247,7.82732997212478e-21
"3","timeOnset",-0.000543683399896692,0.000329472208430405,-1.6501646754571,0.0989094177582493
"4","time1 year before:exposed_15",-0.000344261758714221,0.000206721683617062,-1.66533937171266,0.0958452255300457
"5","time3 years before:exposed_15",-0.000473174542076719,0.000173983704390601,-2.71964862303669,0.00653518875463269
"6","timeOnset:exposed_15",0.00018887006421235,0.000555632134865629,0.339919260173865,0.733917367806659
